tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-12.56258,-47.72453,0.0,0.01,0.01,0.0
blue,-12.1204,-49.38686,0.0,0.01,0.01,0.0
blue,-11.60989,-51.0855,0.0,0.01,0.01,0.0
blue,-10.965589999999999,-52.79916,0.0,0.01,0.01,0.0
blue,-10.08484,-54.50849,0.0,0.01,0.01,0.0
blue,-8.764315,-56.13889,0.0,0.01,0.01,0.0
blue,-7.042822,-57.32252,0.0,0.01,0.01,0.0
blue,-5.253563,-58.06873,0.0,0.01,0.01,0.0
blue,-3.468813,-58.5559,0.0,0.01,0.01,0.0
blue,-1.705197,-58.88723,0.0,0.01,0.01,0.0
blue,0.03300017,-59.12571,0.0,0.01,0.01,0.0
blue,1.7267689999999998,-59.31633000000001,0.0,0.01,0.01,0.0
blue,3.41739,-59.511680000000005,0.0,0.01,0.01,0.0
blue,5.215779,-59.65288,0.0,0.01,0.01,0.0
blue,6.978661,-59.694269999999996,0.0,0.01,0.01,0.0
blue,8.716159,-59.6763,0.0,0.01,0.01,0.0
blue,10.42339,-59.62501999999999,0.0,0.01,0.01,0.0
blue,12.12382,-59.56864,0.0,0.01,0.01,0.0
blue,13.8158,-59.51684,0.0,0.01,0.01,0.0
blue,15.494279999999998,-59.50181,0.0,0.01,0.01,0.0
blue,17.19112,-59.50156,0.0,0.01,0.01,0.0
blue,18.88795,-59.5013,0.0,0.01,0.01,0.0
blue,20.584789999999998,-59.50105,0.0,0.01,0.01,0.0
blue,22.28164,-59.50079,0.0,0.01,0.01,0.0
blue,23.97847,-59.50054,0.0,0.01,0.01,0.0
blue,25.67531,-59.500280000000004,0.0,0.01,0.01,0.0
blue,27.34403,-59.53819,0.0,0.01,0.01,0.0
blue,29.048470000000002,-59.58916,0.0,0.01,0.01,0.0
blue,30.82583,-59.58925,0.0,0.01,0.01,0.0
blue,32.65911,-59.44119,0.0,0.01,0.01,0.0
blue,34.4763,-59.146280000000004,0.0,0.01,0.01,0.0
blue,36.48877,-58.421640000000004,0.0,0.01,0.01,0.0
blue,38.13216,-57.29226,0.0,0.01,0.01,0.0
blue,39.49893,-54.71618,0.0,0.01,0.01,0.0
blue,38.03924,-52.194320000000005,0.0,0.01,0.01,0.0
blue,36.28282,-51.12715,0.0,0.01,0.01,0.0
blue,34.14883,-50.595420000000004,0.0,0.01,0.01,0.0
blue,32.3301,-50.52386,0.0,0.01,0.01,0.0
blue,30.65043,-50.4743,0.0,0.01,0.01,0.0
blue,28.90072,-50.46111,0.0,0.01,0.01,0.0
blue,27.197540000000004,-50.48151,0.0,0.01,0.01,0.0
blue,25.49814,-50.49807,0.0,0.01,0.01,0.0
blue,23.798779999999997,-50.498540000000006,0.0,0.01,0.01,0.0
blue,22.09941,-50.498999999999995,0.0,0.01,0.01,0.0
blue,20.40005,-50.49947,0.0,0.01,0.01,0.0
blue,18.7007,-50.49994,0.0,0.01,0.01,0.0
blue,17.00134,-50.5004,0.0,0.01,0.01,0.0
blue,15.2862,-50.50822,0.0,0.01,0.01,0.0
blue,13.584489999999999,-50.54647,0.0,0.01,0.01,0.0
blue,11.88687,-50.5837,0.0,0.01,0.01,0.0
blue,10.2288,-50.59068,0.0,0.01,0.01,0.0
blue,8.617191,-50.53069,0.0,0.01,0.01,0.0
blue,6.903903,-50.4164,0.0,0.01,0.01,0.0
blue,5.223192,-50.32215,0.0,0.01,0.01,0.0
blue,3.6446199999999997,-50.16146,0.0,0.01,0.01,0.0
blue,2.215255,-49.85229,0.0,0.01,0.01,0.0
blue,1.122366,-49.34872,0.0,0.01,0.01,0.0
blue,0.5595289000000001,-48.627829999999996,0.0,0.01,0.01,0.0
blue,0.5790102,-48.23939,0.0,0.01,0.01,0.0
blue,1.051642,-47.685759999999995,0.0,0.01,0.01,0.0
blue,2.199077,-47.320609999999995,0.0,0.01,0.01,0.0
blue,3.64716,-47.21161,0.0,0.01,0.01,0.0
blue,5.236308999999999,-47.272690000000004,0.0,0.01,0.01,0.0
blue,6.920234,-47.40466,0.0,0.01,0.01,0.0
blue,8.710312,-47.502140000000004,0.0,0.01,0.01,0.0
blue,10.44417,-47.48097,0.0,0.01,0.01,0.0
blue,12.13295,-47.48236,0.0,0.01,0.01,0.0
blue,13.82815,-47.49055,0.0,0.01,0.01,0.0
blue,15.52334,-47.49875,0.0,0.01,0.01,0.0
blue,17.21854,-47.50694,0.0,0.01,0.01,0.0
blue,18.915689999999998,-47.51786,0.0,0.01,0.01,0.0
blue,20.617810000000002,-47.53575,0.0,0.01,0.01,0.0
blue,22.31993,-47.55363,0.0,0.01,0.01,0.0
blue,24.022660000000002,-47.570609999999995,0.0,0.01,0.01,0.0
blue,25.73592,-47.572070000000004,0.0,0.01,0.01,0.0
blue,27.456770000000002,-47.55338,0.0,0.01,0.01,0.0
blue,29.182879999999997,-47.506240000000005,0.0,0.01,0.01,0.0
blue,30.812359999999998,-47.49745,0.0,0.01,0.01,0.0
blue,32.54438,-47.51548,0.0,0.01,0.01,0.0
blue,34.42429,-47.395959999999995,0.0,0.01,0.01,0.0
blue,36.48757,-46.83358,0.0,0.01,0.01,0.0
blue,38.2934,-45.61652,0.0,0.01,0.01,0.0
blue,39.476659999999995,-42.85857,0.0,0.01,0.01,0.0
blue,38.09711,-40.546009999999995,0.0,0.01,0.01,0.0
blue,36.30857,-39.34267,0.0,0.01,0.01,0.0
blue,34.28138,-38.77133,0.0,0.01,0.01,0.0
blue,32.43547,-38.59787,0.0,0.01,0.01,0.0
